Average Rating,Average Difficulty,Number of Ratings,Received a Pepper?,Proportion Retake,Online Ratings,Male,Female
5.0,1.5,2.0,0.0,,0.0,0,1
,,,,,,0,0
3.2,3.0,4.0,0.0,,0.0,1,0
3.6,3.5,10.0,1.0,,0.0,0,0
1.0,5.0,1.0,0.0,,0.0,0,0
3.5,3.3,22.0,0.0,56.0,7.0,1,0
2.3,3.5,2.0,0.0,,0.0,0,0
2.5,3.0,2.0,0.0,,0.0,1,1
2.6,4.5,4.0,1.0,,0.0,0,0
3.0,1.0,1.0,0.0,,0.0,0,1
4.5,3.0,1.0,0.0,,0.0,0,1
3.0,3.0,1.0,0.0,,0.0,0,1
2.5,5.0,1.0,0.0,,0.0,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
4.2,1.7,3.0,1.0,,0.0,0,1
1.3,5.0,2.0,0.0,,2.0,0,1
1.0,4.5,2.0,0.0,,1.0,0,1
2.6,4.1,10.0,0.0,,0.0,1,0
3.7,2.7,3.0,0.0,,1.0,1,0
,,,,,,0,0
3.5,2.0,1.0,0.0,,0.0,0,0
4.3,3.3,16.0,1.0,83.0,0.0,0,1
4.8,2.5,4.0,1.0,,0.0,0,0
4.1,1.8,8.0,0.0,,0.0,0,1
3.5,5.0,1.0,0.0,,0.0,1,0
5.0,1.0,1.0,0.0,,0.0,1,0
5.0,1.0,1.0,0.0,,0.0,1,0
2.2,4.4,5.0,0.0,,0.0,0,0
2.5,3.5,2.0,0.0,,0.0,0,0
4.0,2.0,1.0,0.0,,0.0,0,1
4.8,1.7,3.0,0.0,,0.0,1,0
4.5,2.0,1.0,0.0,,0.0,0,1
5.0,4.0,2.0,0.0,,0.0,0,1
1.0,5.0,1.0,0.0,,0.0,1,0
2.5,4.0,1.0,0.0,,0.0,0,1
3.5,3.2,20.0,1.0,,0.0,1,0
1.8,3.8,15.0,0.0,22.0,1.0,0,1
,,,,,,0,0
4.1,3.3,21.0,0.0,67.0,0.0,0,1
4.2,2.7,8.0,1.0,,1.0,0,1
3.5,3.0,1.0,0.0,,0.0,1,0
2.0,3.7,3.0,0.0,,0.0,1,0
4.2,1.8,26.0,1.0,57.0,8.0,1,0
3.0,1.0,2.0,0.0,,0.0,0,1
3.8,2.8,5.0,0.0,,0.0,0,1
5.0,1.0,1.0,0.0,,0.0,1,0
4.1,2.8,5.0,1.0,,1.0,0,1
2.5,3.0,5.0,0.0,,0.0,1,0
3.6,2.7,3.0,0.0,,0.0,0,1
4.3,2.3,3.0,0.0,,0.0,1,1
3.0,2.5,2.0,0.0,,2.0,0,1
,,,,,,0,0
4.4,2.8,4.0,0.0,,0.0,1,0
5.0,3.3,3.0,1.0,,0.0,0,1
,,,,,,0,0
4.8,1.7,3.0,1.0,,0.0,0,1
3.8,3.1,15.0,1.0,,2.0,0,1
4.8,2.5,2.0,0.0,,0.0,0,1
4.4,2.7,6.0,1.0,,0.0,0,1
4.5,1.0,2.0,0.0,,0.0,0,0
3.1,3.7,7.0,0.0,50.0,1.0,1,0
,,,,,,0,0
3.3,4.5,2.0,0.0,,0.0,1,0
2.1,4.0,18.0,0.0,12.0,1.0,0,0
3.3,4.3,7.0,1.0,,0.0,1,0
4.8,1.2,8.0,1.0,,0.0,1,0
4.4,2.8,4.0,0.0,,0.0,1,1
4.1,3.7,10.0,1.0,,0.0,0,0
3.4,3.3,11.0,0.0,,0.0,0,1
,,,,,,0,0
4.0,3.9,10.0,1.0,,0.0,1,0
4.6,1.7,11.0,0.0,,0.0,0,1
3.9,3.3,4.0,0.0,,0.0,0,0
,,,,,,0,0
2.5,2.5,2.0,0.0,,0.0,0,0
4.0,3.2,5.0,1.0,,0.0,1,0
,,,,,,0,0
5.0,3.0,1.0,0.0,,0.0,1,0
,,,,,,0,0
3.3,3.5,2.0,0.0,,0.0,0,0
4.8,2.8,5.0,1.0,,0.0,0,1
5.0,3.0,1.0,0.0,,0.0,1,0
1.9,3.7,6.0,0.0,,0.0,0,0
3.4,2.7,11.0,0.0,,0.0,0,1
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
,,,,,,0,0
3.0,2.0,2.0,0.0,,0.0,1,0
5.0,2.0,1.0,1.0,,0.0,0,0
2.5,4.0,2.0,0.0,,0.0,1,0
3.6,3.2,17.0,0.0,86.0,0.0,0,0
5.0,2.0,1.0,0.0,,0.0,1,0
4.3,2.9,9.0,0.0,100.0,0.0,1,0
4.6,2.2,16.0,1.0,89.0,1.0,0,1
2.5,3.3,3.0,0.0,,0.0,0,0
2.0,3.0,1.0,0.0,,0.0,1,0
4.8,2.0,6.0,1.0,,0.0,0,1
,,,,,,0,0
3.0,2.5,13.0,0.0,43.0,0.0,0,0
5.0,3.0,1.0,0.0,,1.0,1,0
4.7,2.0,3.0,0.0,,0.0,0,0
,,,,,,0,0
4.5,3.2,10.0,0.0,89.0,5.0,1,0
4.8,1.3,3.0,0.0,,2.0,1,0
4.7,3.0,3.0,1.0,,0.0,0,1
4.7,3.0,3.0,0.0,,0.0,0,0
3.0,4.0,1.0,0.0,,0.0,1,0
,,,,,,0,0
4.3,2.3,3.0,0.0,,0.0,0,1
2.8,2.3,9.0,0.0,50.0,0.0,0,1
,,,,,,0,0
3.6,2.3,4.0,1.0,,0.0,0,0
,,,,,,0,0
1.5,5.0,1.0,0.0,,0.0,1,0
3.2,3.9,29.0,0.0,50.0,0.0,1,0
3.5,2.0,1.0,0.0,,0.0,0,1
5.0,3.0,1.0,0.0,,0.0,0,1
3.8,3.0,25.0,0.0,55.0,0.0,1,0
,,,,,,0,0
5.0,1.9,60.0,1.0,100.0,4.0,0,1
4.9,1.8,17.0,1.0,,0.0,0,1
1.8,4.0,2.0,0.0,,0.0,1,0
5.0,3.0,1.0,0.0,,0.0,0,1
1.9,4.0,4.0,0.0,,0.0,1,1
5.0,3.0,1.0,0.0,,0.0,1,0
1.5,5.0,1.0,0.0,,0.0,0,1
4.9,2.4,5.0,1.0,,0.0,0,0
,,,,,,0,0
2.3,3.8,23.0,0.0,31.0,0.0,0,1
,,,,,,0,0
1.3,4.5,12.0,0.0,,0.0,0,0
5.0,3.0,1.0,0.0,,0.0,1,0
3.9,2.3,3.0,1.0,,1.0,1,1
,,,,,,0,0
